"Anos";"AC";"AM";"AP";"BA";"MA";"MT";"PA";"PI";"RO";"RR";"TO"
1959;;;;;;;;;;;558562
1961;;;;;;;320477;;348036
1974;;16140;;;;;1736405
1979;;2250186;;;;;410649;;713432
1980;;2373596;834351
1981;94158;344701;51665;;;379389;;;;153670
1982;;223501;66634;;;28134;165896;;617300;84645
1983;;290370
1984;;;;;;;;;220964
1985;;19248;;;;;;;;283403
1988;177266;256881;;;294550;;;;120527
1989;840621;3074596;454957;;;32583;740140;;;291945
1990;1463977;945796;504880;;;;;;200561
1992;;;;;28351;;;;;;9110
1997;;286737
1998;;478033;;;;;2526455;;;642933
1999;2583;;;;;;;;74508
2000;157594
2001;251881;2170971;;80966;;;246121;;632273;;634133
2002;774198;854782;3823261;1049;362940;;61250;259132;;;130950
2004;;305697;;;86760;;2029781;;222546
2005;326490;1084975;;;160720;;4615650;;;263427
2006;;2743139;;;;1181357;4994643;;124920
2008;;5284219;;;;;307506;;174294
2009;;;;;;;211504
2014;;672612;;;;;49225
2016;;2553538
2017;;;;;;;79382
2018;;190809;;;200603;;;;;391840
2023;;;;;;;;;;110056
2024;;15358;;;;;34467
