Efetivo dos rebanhos
Tipo de rebanho;1974;1975#1975;1976#1976;1977#1977;1978#1978;1979#1979;1980#1980;1981#1981;1982#1982;1983#1983;1984#1984;1985#1985;1986#1986;1987#1987;1988#1988;1989#1989;1990#1990;1991#1991;1992#1992;1993#1993;1994#1994;1995#1995;1996#1996;1997#1997;1998#1998;1999#1999;2000#2000;2001#2001;2002#2002;2003#2003;2004#2004;2005#2005;2006#2006;2007#2007;2008#2008;2009#2009;2010#2010;2011#2011;2012#2012;2013#2013;2014#2014;2015#2015;2016#2016;2017#2017;2018#2018;2019#2019
Bovino;11873569;11941972;12698955;12885517;3888131;4222527;5249317;5496896;5967282;6365102;6787575;6507632;6859161;7407377;7850069;8473929;9041258;9890510;10138376;11681559;12653943;14153541;15573094;16337986;16751508;17242935;18924532;19921615;22183695;24613718;25918998;26651500;26064332;25683031;26018216;27357089;28757438;29265718;28740802;28395205;28592183;29364042;30296096;29725378;30199598;31654882
Galináceos - galinhas;2384704;2642875;3258033;2916089;2627570;2765849;3185532;1594279;1743608;2134929;2263017;2351547;2526592;2737930;3037722;3671002;3919586;4148305;3681844;3073238;3099684;3163215;3287955;3647333;3819653;3960340;4329832;4225899;4696579;4937920;4827062;5156301;5515154;5472868;5965842;8395027;9235951;10644467;10190826;10190850;11125797;10584298;10347908;11170647;11796980;11926184
Suíno - total;1115857;1043368;1095990;1023287;532432;563081;555942;548705;579491;599491;617842;682400;720785;793456;869379;934783;1034107;1039732;872351;893333;947629;990802;689514;724651;759928;771157;834084;934889;1034608;1114592;1315443;1359824;1439626;1392424;1620061;1864808;2109979;1954128;1789390;1782726;1840910;2849158;2538530;2559616;2745416;2592975

Fonte: "IBGE - Pesquisa Pecuária Municipal"
