Efetivo dos rebanhos
Tipo de rebanho;1974;1975#1975;1976#1976;1977#1977;1978#1978;1979#1979;1980#1980;1981#1981;1982#1982;1983#1983;1984#1984;1985#1985;1986#1986;1987#1987;1988#1988;1989#1989;1990#1990;1991#1991;1992#1992;1993#1993;1994#1994;1995#1995;1996#1996;1997#1997;1998#1998;1999#1999;2000#2000;2001#2001;2002#2002;2003#2003;2004#2004;2005#2005;2006#2006;2007#2007;2008#2008;2009#2009;2010#2010;2011#2011;2012#2012;2013#2013;2014#2014;2015#2015;2016#2016;2017#2017;2018#2018;2019#2019
Bovino;1721854;1782518;1829081;1901089;2007977;2209114;2835869;2906004;3054555;3129495;3307910;3278340;3428806;3550917;3673815;3813651;3900158;3948710;3930893;4019776;4101939;4162059;3935754;3905311;3936949;3966430;4093563;4483209;4776278;5514167;5928131;6448948;6613270;6609438;6816338;6885265;6979844;7264106;7490942;7611324;7758352;7643128;7653870;7687695;7793180;8008643
Galináceos - galinhas;4319778;11714323;4724047;4976938;13409778;14304314;13194662;4048076;4196293;4207156;4645396;4310751;4168789;4218427;4457089;4481848;4522014;4515836;4465978;4424506;4548881;4519245;3225167;3021854;3016505;3082251;3125822;3153893;3121218;3041281;3054405;3096996;3129416;3080213;2974415;2898669;2515141;2509730;2312645;2249013;2248243;2223811;2366897;2678509;2673273;2623185
Suíno - total;3166808;3308891;3472981;3369379;3473553;3594133;2799786;2746008;2808300;2813597;2770350;2607648;2644878;2733962;2863339;2958566;3012982;2876138;2795683;2755138;2752526;2750960;1931173;1883382;1888116;1885166;1864915;1861185;1817067;1756418;1697086;1666063;1668326;1485351;1436181;1381069;1295425;1304193;1320953;1233492;1223787;1231823;1241502;1070188;1031962;1031222

Fonte: "IBGE - Pesquisa Pecuária Municipal"
