Efetivo dos rebanhos
Tipo de rebanho;1974;1975#1975;1976#1976;1977#1977;1978#1978;1979#1979;1980#1980;1981#1981;1982#1982;1983#1983;1984#1984;1985#1985;1986#1986;1987#1987;1988#1988;1989#1989;1990#1990;1991#1991;1992#1992;1993#1993;1994#1994;1995#1995;1996#1996;1997#1997;1998#1998;1999#1999;2000#2000;2001#2001;2002#2002;2003#2003;2004#2004;2005#2005;2006#2006;2007#2007;2008#2008;2009#2009;2010#2010;2011#2011;2012#2012;2013#2013;2014#2014;2015#2015;2016#2016;2017#2017;2018#2018;2019#2019
Bovino;88287;63798;64679;65766;66270;61200;52210;53135;48140;49410;51880;48370;51953;70271;74679;75768;69619;70875;61656;73108;86221;93349;63648;65953;74508;76734;82822;87197;83901;81674;82243;96599;109081;103170;95803;104977;114773;127499;142825;154967;167529;89682;76379;66921;55422;54296
Galináceos - galinhas;117500;62854;187220;82600;441000;331700;287650;90380;92874;94610;91157;126132;137696;6200;0;52500;32937;34583;29395;32922;27714;25870;0;0;0;0;0;0;0;0;0;3222;5059;15413;11020;11165;13219;14857;15840;17497;17763;11956;11004;12357;13555;11711
Suíno - total;49250;55906;63979;46484;50550;44600;39880;29690;20753;17150;17975;25170;27457;42350;41807;43765;32642;27805;22679;20002;18491;20063;14451;15693;17141;17076;17036;18390;20044;15354;17066;22248;35479;31821;28547;28484;30055;34962;37089;40563;43594;36355;35193;31012;30736;30892

Fonte: "IBGE - Pesquisa Pecuária Municipal"
