Efetivo dos rebanhos
Tipo de rebanho;1974;1975#1975;1976#1976;1977#1977;1978#1978;1979#1979;1980#1980;1981#1981;1982#1982;1983#1983;1984#1984;1985#1985;1986#1986;1987#1987;1988#1988;1989#1989;1990#1990;1991#1991;1992#1992;1993#1993;1994#1994;1995#1995;1996#1996;1997#1997;1998#1998;1999#1999;2000#2000;2001#2001;2002#2002;2003#2003;2004#2004;2005#2005;2006#2006;2007#2007;2008#2008;2009#2009;2010#2010;2011#2011;2012#2012;2013#2013;2014#2014;2015#2015;2016#2016;2017#2017;2018#2018;2019#2019
Bovino;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4189580;4309160;4440540;4623500;5138904;5374168;5544400;5242655;5350885;5441860;5813170;6142096;6570653;6979102;7659743;7924546;7961926;7760590;7395450;7392515;7605249;7994200;8025400;8082336;8140580;8062227;8412404;8652161;8738477;8352513;8480724
Galináceos - galinhas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1198850;1254900;1317450;1406690;1770833;1932126;2095440;1101959;1151649;1199485;1129780;1228830;1253900;1243075;1239295;1217049;1200639;1219444;1331895;1211429;1198900;1455614;1435050;1402887;1322592;1477555;1669175;2249177;2151515;2437272;2753682
Suíno - total;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;500520;531440;553360;594560;650118;688489;722328;219744;232797;241091;251396;246477;249879;242380;234184;225249;224481;224591;253740;257507;254181;266040;266067;259929;259618;273703;295661;308422;311667;318975;266454

Fonte: "IBGE - Pesquisa Pecuária Municipal"
