Efetivo dos rebanhos
Tipo de rebanho;1974;1975#1975;1976#1976;1977#1977;1978#1978;1979#1979;1980#1980;1981#1981;1982#1982;1983#1983;1984#1984;1985#1985;1986#1986;1987#1987;1988#1988;1989#1989;1990#1990;1991#1991;1992#1992;1993#1993;1994#1994;1995#1995;1996#1996;1997#1997;1998#1998;1999#1999;2000#2000;2001#2001;2002#2002;2003#2003;2004#2004;2005#2005;2006#2006;2007#2007;2008#2008;2009#2009;2010#2010;2011#2011;2012#2012;2013#2013;2014#2014;2015#2015;2016#2016;2017#2017;2018#2018;2019#2019
Bovino;1377655;1430055;1518544;1638422;1737234;1864464;2411115;2810252;3198599;3588394;3933128;3378894;4036502;4580572;5365316;5870005;6182090;6626179;6989688;7434835;7539452;8058029;6751480;7539154;8337181;8862649;10271409;11046992;12190597;13376606;17430496;18063669;17501678;15353989;16240697;16856561;17633339;18262547;18605051;19165028;19911217;20271618;20476783;20585367;20628651;20953429
Galináceos - galinhas;1965638;2617357;4939564;2973204;8398725;8944853;8269971;3160464;3014664;3230809;3571668;3702882;4589532;5559585;5271622;5015265;5377818;5458754;5662839;6129988;6323294;6573792;4600684;4784011;4671278;4836979;4525015;4350616;4030692;3298768;3073430;3215121;3235044;2993559;2991021;2953023;2850858;2952067;2855547;2928758;2919755;3083862;3288844;3901530;4193517;3629593
Suíno - total;738686;816875;896834;714941;724927;825822;1078669;1177147;1315967;1528484;1653416;1270837;1462388;1615847;1790218;1867957;1942171;1989976;2023143;2083096;2053580;2124098;1254943;1320900;1366626;1316846;1335424;1285571;1130961;1105213;1043464;1015415;870450;779307;761403;750414;734858;741833;713264;542746;559417;557848;636859;720365;725414;718732

Fonte: "IBGE - Pesquisa Pecuária Municipal"
