Efetivo dos rebanhos
Tipo de rebanho;1974;1975#1975;1976#1976;1977#1977;1978#1978;1979#1979;1980#1980;1981#1981;1982#1982;1983#1983;1984#1984;1985#1985;1986#1986;1987#1987;1988#1988;1989#1989;1990#1990;1991#1991;1992#1992;1993#1993;1994#1994;1995#1995;1996#1996;1997#1997;1998#1998;1999#1999;2000#2000;2001#2001;2002#2002;2003#2003;2004#2004;2005#2005;2006#2006;2007#2007;2008#2008;2009#2009;2010#2010;2011#2011;2012#2012;2013#2013;2014#2014;2015#2015;2016#2016;2017#2017;2018#2018;2019#2019
Bovino;41030;51507;65997;74889;116617;176221;250286;254348;347279;575083;693663;764299;884307;1051067;1247898;1594201;1718697;2826403;2773896;3286112;3469519;3928027;3937291;4330932;5104233;5441734;5664320;6605034;8039890;9392354;10671440;11349452;11484162;11007613;11176201;11532891;11842073;12182259;12218437;12329971;12744326;13397970;13682200;14091378;14367161;14349219
Galináceos - galinhas;160000;439199;510026;522907;1399137;2167100;2482634;547033;1819156;1451663;1641788;1418470;1644969;2320055;2514191;2446169;1101581;1307795;1588230;1833019;1764843;1765217;1210897;2269800;2269000;2352391;2367345;1746244;986003;2205034;2059014;1442062;1389394;1777416;1660401;1299124;1406255;1414801;1433008;1480589;1441551;1827055;1493953;2065764;1950691;1640014
Suíno - total;40700;134645;140757;139915;141915;302660;367928;433475;566717;653151;816965;569649;558954;712463;780612;894954;853012;1006190;1139701;1165981;1148219;1212091;410315;422622;443770;459983;460868;501032;196836;251879;255461;308406;275682;278133;207477;216947;249919;234593;225596;188291;203551;230569;224176;221132;190235;163631

Fonte: "IBGE - Pesquisa Pecuária Municipal"
