Efetivo dos rebanhos
Tipo de rebanho;1974;1975#1975;1976#1976;1977#1977;1978#1978;1979#1979;1980#1980;1981#1981;1982#1982;1983#1983;1984#1984;1985#1985;1986#1986;1987#1987;1988#1988;1989#1989;1990#1990;1991#1991;1992#1992;1993#1993;1994#1994;1995#1995;1996#1996;1997#1997;1998#1998;1999#1999;2000#2000;2001#2001;2002#2002;2003#2003;2004#2004;2005#2005;2006#2006;2007#2007;2008#2008;2009#2009;2010#2010;2011#2011;2012#2012;2013#2013;2014#2014;2015#2015;2016#2016;2017#2017;2018#2018;2019#2019
Bovino;317808;198768;203742;208410;228201;239662;350003;361096;390965;421538;473216;427504;431939;478424;609477;628256;637299;647714;639811;688592;746638;805804;733910;770805;809302;826025;843254;863736;894856;1121009;1156723;1197171;1243358;1208652;1312352;1350816;1360800;1439597;1445739;1470537;1405208;1293325;1315821;1343574;1376210;1455842
Galináceos - galinhas;586780;838526;1422292;854063;3866156;4063974;2509294;771959;686651;751082;975769;956062;960949;914596;1511122;1508088;1512813;1516762;1159524;1101733;1213437;1329183;947947;1020869;1108543;1186938;1258938;1336313;1850327;1833375;2023409;2406616;2641190;2365027;2574982;2604754;2801449;3073011;2939350;2836439;3053665;3129387;2599226;2599357;2819287;3256454
Suíno - total;162218;126688;133473;121745;130146;145136;246014;255333;266283;291130;295588;180522;181624;188612;216243;219875;214594;217182;204187;221385;240908;260926;230803;248659;267846;283982;300168;313826;341766;301246;290757;290410;299929;155525;143664;146291;99676;94435;76108;66325;71008;62613;65507;77365;76273;89338

Fonte: "IBGE - Pesquisa Pecuária Municipal"
